time,original,missing,interpolated,mask
0,1.9925200000000002e-07,1.9925200000000002e-07,1.9925200000000002e-07,0
1,4.4569700000000005e-07,4.4569700000000005e-07,4.4569700000000005e-07,0
2,6.3028e-07,6.3028e-07,6.3028e-07,0
3,6.715730000000001e-07,6.715730000000001e-07,6.715730000000001e-07,0
4,7.81246e-07,7.81246e-07,7.81246e-07,0
5,8.354959999999999e-07,8.354959999999999e-07,8.354959999999999e-07,0
6,1.14701e-06,1.14701e-06,1.14701e-06,0
7,6.693790000000001e-07,6.693790000000001e-07,6.693790000000001e-07,0
8,7.643779999999999e-07,7.643779999999999e-07,7.643779999999999e-07,0
9,8.17056e-07,8.17056e-07,8.17056e-07,0
10,9.120920000000001e-07,9.120920000000001e-07,9.120920000000001e-07,0
11,7.48816e-07,7.48816e-07,7.48816e-07,0
12,6.51462e-07,6.51462e-07,6.51462e-07,0
13,2.7825700000000003e-07,2.7825700000000003e-07,2.7825700000000003e-07,0
14,2.90559e-07,2.90559e-07,2.90559e-07,0
15,3.3949400000000004e-07,3.3949400000000004e-07,3.3949400000000004e-07,0
16,1.5754400000000002e-07,1.5754400000000002e-07,1.5754400000000002e-07,0
17,2.5459100000000003e-07,2.5459100000000003e-07,2.5459100000000003e-07,0
18,2.1608700000000002e-07,2.1608700000000002e-07,2.1608700000000002e-07,0
19,2.79442e-07,2.79442e-07,2.79442e-07,0
20,3.8508300000000003e-07,3.8508300000000003e-07,3.8508300000000003e-07,0
21,3.6295100000000003e-07,3.6295100000000003e-07,3.6295100000000003e-07,0
22,2.92909e-07,2.92909e-07,2.92909e-07,0
23,1.8975000000000001e-07,1.8975000000000001e-07,1.8975000000000001e-07,0
24,2.1179000000000002e-07,2.1179000000000002e-07,2.1179000000000002e-07,0
25,2.62219e-07,2.62219e-07,2.62219e-07,0
26,4.3820900000000003e-07,4.3820900000000003e-07,4.3820900000000003e-07,0
27,2.8666300000000003e-07,2.8666300000000003e-07,2.8666300000000003e-07,0
28,1.61248e-07,1.61248e-07,1.61248e-07,0
29,1.8781800000000002e-07,1.8781800000000002e-07,1.8781800000000002e-07,0
30,1.20577e-07,1.20577e-07,1.20577e-07,0
31,7.86813e-08,7.86813e-08,7.86813e-08,0
32,1.83988e-08,1.83988e-08,1.83988e-08,0
33,9.35994e-08,9.35994e-08,9.35994e-08,0
34,2.13277e-07,2.13277e-07,2.13277e-07,0
35,8.90982e-08,8.90982e-08,8.90982e-08,0
36,8.494349999999998e-08,8.494349999999998e-08,8.494349999999998e-08,0
37,1.1896500000000001e-07,1.1896500000000001e-07,1.1896500000000001e-07,0
38,6.38402e-08,6.38402e-08,6.38402e-08,0
39,4.69927e-08,4.69927e-08,4.69927e-08,0
40,1.31224e-07,1.31224e-07,1.31224e-07,0
41,5.76448e-08,5.76448e-08,5.76448e-08,0
42,5.3695700000000003e-08,5.3695700000000003e-08,5.3695700000000003e-08,0
43,4.83571e-08,4.83571e-08,4.83571e-08,0
44,8.082981481481482e-08,8.082981481481482e-08,8.082981481481482e-08,0
45,1.411362851851852e-07,1.411362851851852e-07,1.411362851851852e-07,0
46,1.73609e-07,1.73609e-07,1.73609e-07,0
47,1.25274e-07,1.25274e-07,1.25274e-07,0
48,1.17411e-07,1.17411e-07,1.17411e-07,0
49,5.49593e-08,5.49593e-08,5.49593e-08,0
50,9.70162e-08,9.70162e-08,9.70162e-08,0
51,9.454124197977112e-08,9.454124197977112e-08,9.454124197977112e-08,0
52,8.777591194605635e-08,8.777591194605635e-08,8.777591194605635e-08,0
53,7.770952593931342e-08,7.770952593931342e-08,7.770952593931342e-08,0
54,6.53314e-08,6.53314e-08,6.53314e-08,0
55,3.372195402697181e-08,3.372195402697181e-08,3.372195402697181e-08,0
56,8.714619999999999e-09,8.714619999999999e-09,8.714619999999999e-09,0
57,1.39371e-08,1.39371e-08,1.39371e-08,0
58,1.1522000000000001e-07,1.1522000000000001e-07,1.1522000000000001e-07,0
59,1.1766000000000001e-07,1.1766000000000001e-07,1.1766000000000001e-07,0
60,1.1210556053867464e-07,1.1210556053867464e-07,1.1210556053867464e-07,0
61,9.912494329957153e-08,9.912494329957153e-08,9.912494329957153e-08,0
62,8.42422e-08,8.42422e-08,8.42422e-08,0
63,6.71165e-08,6.71165e-08,6.71165e-08,0
64,5.83734e-08,5.83734e-08,5.83734e-08,0
65,5.7514817475452465e-08,5.7514817475452465e-08,5.7514817475452465e-08,0
66,5.671731903696884e-08,5.671731903696884e-08,5.671731903696884e-08,0
67,5.597820681539009e-08,5.597820681539009e-08,5.597820681539009e-08,0
68,5.52947829415572e-08,5.52947829415572e-08,5.52947829415572e-08,0
69,5.466434954631111e-08,5.466434954631111e-08,5.466434954631111e-08,0
70,5.408420876049281e-08,5.408420876049281e-08,5.408420876049281e-08,0
71,5.355166271494327e-08,5.355166271494327e-08,5.355166271494327e-08,0
72,5.306401354050344e-08,5.306401354050344e-08,5.306401354050344e-08,0
73,5.261856336801431e-08,5.261856336801431e-08,5.261856336801431e-08,0
74,5.2212614328316815e-08,5.2212614328316815e-08,5.2212614328316815e-08,0
75,5.1843468552251975e-08,5.1843468552251975e-08,5.1843468552251975e-08,0
