time,original,missing,interpolated,mask
0,3.9949600000000005e-07,3.9949600000000005e-07,3.9949600000000005e-07,0
1,4.0595000000000006e-07,4.0595000000000006e-07,4.0595000000000006e-07,0
2,5.311410000000001e-07,5.311410000000001e-07,5.311410000000001e-07,0
3,2.80447e-07,2.80447e-07,2.80447e-07,0
4,4.3540800000000006e-07,4.3540800000000006e-07,4.3540800000000006e-07,0
5,3.50889e-07,3.50889e-07,3.50889e-07,0
6,2.70892e-07,2.70892e-07,2.70892e-07,0
7,3.6676600000000004e-07,3.6676600000000004e-07,3.6676600000000004e-07,0
8,4.79784e-07,4.79784e-07,4.79784e-07,0
9,5.00596e-07,5.00596e-07,5.00596e-07,0
10,2.2421500000000003e-07,2.2421500000000003e-07,2.2421500000000003e-07,0
11,3.3095200000000004e-07,3.3095200000000004e-07,3.3095200000000004e-07,0
12,3.6538300000000004e-07,3.6538300000000004e-07,3.6538300000000004e-07,0
13,4.4462300000000005e-07,4.4462300000000005e-07,4.4462300000000005e-07,0
14,5.13404e-07,5.13404e-07,5.13404e-07,0
15,8.087920000000001e-07,8.087920000000001e-07,8.087920000000001e-07,0
16,6.83282e-07,6.83282e-07,6.83282e-07,0
17,5.59838e-07,5.59838e-07,5.59838e-07,0
18,8.795530000000001e-07,8.795530000000001e-07,8.795530000000001e-07,0
19,6.948640000000001e-07,6.948640000000001e-07,6.948640000000001e-07,0
20,4.21736e-07,4.21736e-07,4.21736e-07,0
21,3.1878300000000003e-07,3.1878300000000003e-07,3.1878300000000003e-07,0
22,1.02209e-06,1.02209e-06,1.02209e-06,0
23,9.148180000000001e-07,9.148180000000001e-07,9.148180000000001e-07,0
24,6.14416e-07,6.14416e-07,6.14416e-07,0
25,5.40791e-07,5.40791e-07,5.40791e-07,0
26,4.0696600000000005e-07,4.0696600000000005e-07,4.0696600000000005e-07,0
27,5.024820000000001e-07,5.024820000000001e-07,5.024820000000001e-07,0
28,4.00366e-07,4.00366e-07,4.00366e-07,0
29,3.8329200000000004e-07,3.8329200000000004e-07,3.8329200000000004e-07,0
30,3.7622e-07,3.7622e-07,3.7622e-07,0
31,1.8718800000000002e-07,1.8718800000000002e-07,1.8718800000000002e-07,0
32,2.48112e-07,2.48112e-07,2.48112e-07,0
33,3.70718e-07,3.70718e-07,3.70718e-07,0
34,2.8962e-07,2.8962e-07,2.8962e-07,0
35,3.8426300000000006e-07,3.8426300000000006e-07,3.8426300000000006e-07,0
36,2.95419e-07,2.95419e-07,2.95419e-07,0
37,3.64111e-07,3.64111e-07,3.64111e-07,0
38,4.0707200000000006e-07,4.0707200000000006e-07,4.0707200000000006e-07,0
39,4.04286e-07,4.04286e-07,4.04286e-07,0
40,4.2555200000000005e-07,4.2555200000000005e-07,4.2555200000000005e-07,0
41,2.9007700000000004e-07,2.9007700000000004e-07,2.9007700000000004e-07,0
42,2.93912e-07,2.93912e-07,2.93912e-07,0
43,1.5539800000000003e-07,1.5539800000000003e-07,1.5539800000000003e-07,0
44,2.23736e-07,2.23736e-07,2.23736e-07,0
45,2.05591e-07,2.05591e-07,2.05591e-07,0
46,3.30522e-07,3.30522e-07,3.30522e-07,0
47,3.3291800000000004e-07,3.3291800000000004e-07,3.3291800000000004e-07,0
48,3.3552000000000003e-07,3.3552000000000003e-07,3.3552000000000003e-07,0
49,2.5469700000000005e-07,2.5469700000000005e-07,2.5469700000000005e-07,0
50,2.40352e-07,2.40352e-07,2.40352e-07,0
51,1.3732500000000002e-07,1.3732500000000002e-07,1.3732500000000002e-07,0
52,1.45061e-07,1.45061e-07,1.45061e-07,0
53,1.85543e-07,1.85543e-07,1.85543e-07,0
54,1.9610100000000002e-07,1.9610100000000002e-07,1.9610100000000002e-07,0
55,2.90433e-07,2.90433e-07,2.90433e-07,0
56,2.3588200000000002e-07,2.3588200000000002e-07,2.3588200000000002e-07,0
57,1.9292900000000002e-07,1.9292900000000002e-07,1.9292900000000002e-07,0
58,2.3648e-07,2.3648e-07,2.3648e-07,0
59,3.34518e-07,3.34518e-07,3.34518e-07,0
60,3.15146e-07,3.15146e-07,3.15146e-07,0
61,3.0669100000000003e-07,3.0669100000000003e-07,3.0669100000000003e-07,0
62,4.20123e-07,4.20123e-07,4.20123e-07,0
63,5.462770000000001e-07,5.462770000000001e-07,5.462770000000001e-07,0
64,4.864640000000001e-07,4.864640000000001e-07,4.864640000000001e-07,0
65,3.7957100000000003e-07,3.7957100000000003e-07,3.7957100000000003e-07,0
66,2.96833e-07,2.96833e-07,2.96833e-07,0
67,5.14262e-07,5.14262e-07,5.14262e-07,0
68,3.9247700000000005e-07,3.9247700000000005e-07,3.9247700000000005e-07,0
69,2.91208e-07,2.91208e-07,2.91208e-07,0
70,3.6810800000000003e-07,3.6810800000000003e-07,3.6810800000000003e-07,0
71,2.2367800000000003e-07,2.2367800000000003e-07,2.2367800000000003e-07,0
72,3.0316600000000003e-07,3.0316600000000003e-07,3.0316600000000003e-07,0
73,3.23782e-07,3.23782e-07,3.23782e-07,0
74,1.92478e-07,1.92478e-07,1.92478e-07,0
75,2.2230100000000003e-07,2.2230100000000003e-07,2.2230100000000003e-07,0
76,3.2402900000000005e-07,3.2402900000000005e-07,3.2402900000000005e-07,0
77,3.76834e-07,3.76834e-07,3.76834e-07,0
78,3.7799100000000004e-07,3.7799100000000004e-07,3.7799100000000004e-07,0
79,3.172e-07,3.172e-07,3.172e-07,0
80,8.61714e-08,8.61714e-08,8.61714e-08,0
81,2.2674100000000003e-07,2.2674100000000003e-07,2.2674100000000003e-07,0
82,1.8055600000000002e-07,1.8055600000000002e-07,1.8055600000000002e-07,0
83,1.5721300000000002e-07,1.5721300000000002e-07,1.5721300000000002e-07,0
84,2.35521e-07,2.35521e-07,2.35521e-07,0
85,1.6052900000000002e-07,1.6052900000000002e-07,1.6052900000000002e-07,0
86,9.71829e-08,9.71829e-08,9.71829e-08,0
87,5.91518e-08,5.91518e-08,5.91518e-08,0
88,9.733530000000001e-08,9.733530000000001e-08,9.733530000000001e-08,0
89,7.693109999999998e-08,7.693109999999998e-08,7.693109999999998e-08,0
90,5.5494800000000004e-08,5.5494800000000004e-08,5.5494800000000004e-08,0
91,1.7167e-07,1.7167e-07,1.7167e-07,0
92,2.4599700000000003e-07,2.4599700000000003e-07,2.4599700000000003e-07,0
93,1.1885500000000001e-07,1.1885500000000001e-07,1.1885500000000001e-07,0
94,4.84632e-08,4.84632e-08,4.84632e-08,0
95,2.3545700000000002e-07,2.3545700000000002e-07,2.3545700000000002e-07,0
96,1.8226905555555559e-07,1.8226905555555559e-07,1.8226905555555559e-07,0
97,8.349144444444443e-08,8.349144444444443e-08,8.349144444444443e-08,0
98,3.03035e-08,3.03035e-08,3.03035e-08,0
99,4.27295e-08,4.27295e-08,4.27295e-08,0
100,1.63781e-07,1.63781e-07,1.63781e-07,0
101,9.74503e-08,9.74503e-08,9.74503e-08,0
102,2.10075e-07,2.10075e-07,2.10075e-07,0
103,7.36348e-08,7.36348e-08,7.36348e-08,0
104,1.35066e-07,1.35066e-07,1.35066e-07,0
105,6.41015e-08,6.41015e-08,6.41015e-08,0
106,3.78775e-08,3.78775e-08,3.78775e-08,0
107,1.19393e-07,1.19393e-07,1.19393e-07,0
108,1.2337031776314994e-07,1.2337031776314994e-07,1.2337031776314994e-07,0
109,1.2639879621299172e-07,1.2639879621299172e-07,1.2639879621299172e-07,0
110,1.286012468134516e-07,1.286012468134516e-07,1.286012468134516e-07,0
111,1.301004810284561e-07,1.301004810284561e-07,1.301004810284561e-07,0
112,1.3101931032193142e-07,1.3101931032193142e-07,1.3101931032193142e-07,0
113,1.3148054615780388e-07,1.3148054615780388e-07,1.3148054615780388e-07,0
114,1.3160700000000002e-07,1.3160700000000002e-07,1.3160700000000002e-07,0
115,8.835475e-08,8.835475e-08,8.835475e-08,0
116,4.51025e-08,4.51025e-08,4.51025e-08,0
117,4.873508518518518e-08,4.873508518518518e-08,4.873508518518518e-08,0
118,5.548131481481482e-08,5.548131481481482e-08,5.548131481481482e-08,0
119,5.9113900000000004e-08,5.9113900000000004e-08,5.9113900000000004e-08,0
120,4.92271e-08,4.92271e-08,4.92271e-08,0
121,6.25238e-08,6.25238e-08,6.25238e-08,0
122,1.2648474623072303e-07,1.2648474623072303e-07,1.2648474623072303e-07,0
123,2.2421578422647267e-07,2.2421578422647267e-07,2.2421578422647267e-07,0
124,2.74779e-07,2.74779e-07,2.74779e-07,0
125,8.313769999999998e-08,8.313769999999998e-08,8.313769999999998e-08,0
126,7.573936207849767e-08,7.573936207849767e-08,7.573936207849767e-08,0
127,6.976919316726748e-08,6.976919316726748e-08,6.976919316726748e-08,0
128,6.507825822968707e-08,6.507825822968707e-08,6.507825822968707e-08,0
129,6.15176222291341e-08,6.15176222291341e-08,6.15176222291341e-08,0
130,5.8938350128986303e-08,5.8938350128986303e-08,5.8938350128986303e-08,0
131,5.7191506892621294e-08,5.7191506892621294e-08,5.7191506892621294e-08,0
132,5.612815748341681e-08,5.612815748341681e-08,5.612815748341681e-08,0
133,5.559936686475049e-08,5.559936686475049e-08,5.559936686475049e-08,0
134,5.54562e-08,5.54562e-08,5.54562e-08,0
135,6.1453434375e-08,6.1453434375e-08,6.1453434375e-08,0
136,7.464735e-08,7.464735e-08,7.464735e-08,0
137,8.784126562499998e-08,8.784126562499998e-08,8.784126562499998e-08,0
138,9.38385e-08,9.38385e-08,9.38385e-08,0
139,7.23587e-08,7.23587e-08,7.23587e-08,0
140,5.08789e-08,5.08789e-08,5.08789e-08,0
141,1.48656e-07,1.48656e-07,1.48656e-07,0
142,1.0416723900074493e-07,1.0416723900074493e-07,1.0416723900074493e-07,0
143,5.44914e-08,5.44914e-08,5.44914e-08,0
144,4.81023e-08,4.81023e-08,4.81023e-08,0
145,9.58192e-08,9.58192e-08,9.58192e-08,0
146,1.1494400000000001e-07,1.1494400000000001e-07,1.1494400000000001e-07,0
147,1.32591e-07,1.32591e-07,1.32591e-07,0
148,1.2735600000000002e-07,1.2735600000000002e-07,1.2735600000000002e-07,0
149,1.5417e-07,1.5417e-07,1.5417e-07,0
150,6.19446e-08,6.19446e-08,6.19446e-08,0
151,9.796750000000001e-08,9.796750000000001e-08,9.796750000000001e-08,0
152,1.54705e-07,1.54705e-07,1.54705e-07,0
153,2.0840600000000002e-07,2.0840600000000002e-07,2.0840600000000002e-07,0
154,1.8309e-07,1.8309e-07,1.8309e-07,0
155,1.67796e-08,1.67796e-08,1.67796e-08,0
156,9.2134e-08,9.2134e-08,9.2134e-08,0
