time,original,missing,interpolated,mask
0,1.1481100000000001e-07,1.1481100000000001e-07,1.1481100000000001e-07,0
1,1.5294600000000003e-07,1.5294600000000003e-07,1.5294600000000003e-07,0
2,1.6921200000000002e-07,1.6921200000000002e-07,1.6921200000000002e-07,0
3,2.17494e-08,2.17494e-08,2.17494e-08,0
4,1.2951e-07,1.2951e-07,1.2951e-07,0
5,1.22233e-07,1.22233e-07,1.22233e-07,0
6,9.382e-08,9.382e-08,9.382e-08,0
7,7.159303166283827e-08,7.159303166283827e-08,7.159303166283827e-08,0
8,5.297754916475247e-08,5.297754916475247e-08,5.297754916475247e-08,0
9,4.51726e-08,4.51726e-08,4.51726e-08,0
10,1.4221e-07,1.4221e-07,1.4221e-07,0
11,5.67713e-08,5.67713e-08,5.67713e-08,0
12,7.33578e-08,7.33578e-08,7.33578e-08,0
13,7.32513e-08,7.32513e-08,7.32513e-08,0
14,1.0352400000000001e-07,1.0352400000000001e-07,1.0352400000000001e-07,0
15,1.35561e-07,1.35561e-07,1.35561e-07,0
16,1.09871e-07,1.09871e-07,1.09871e-07,0
17,6.79562e-08,6.79562e-08,6.79562e-08,0
18,1.77442e-07,1.77442e-07,1.77442e-07,0
19,1.1593400000000001e-07,1.1593400000000001e-07,1.1593400000000001e-07,0
20,1.47684e-07,1.47684e-07,1.47684e-07,0
21,1.63604e-07,1.63604e-07,1.63604e-07,0
22,1.0644100000000001e-07,1.0644100000000001e-07,1.0644100000000001e-07,0
23,1.03019e-07,1.03019e-07,1.03019e-07,0
24,9.192768903036544e-08,9.192768903036544e-08,9.192768903036544e-08,0
25,7.639758895962717e-08,7.639758895962717e-08,7.639758895962717e-08,0
26,6.85314e-08,6.85314e-08,6.85314e-08,0
27,1.1380700000000001e-07,1.1380700000000001e-07,1.1380700000000001e-07,0
28,8.05088e-08,8.05088e-08,8.05088e-08,0
29,4.72106e-08,4.72106e-08,4.72106e-08,0
30,1.3713900000000002e-07,1.3713900000000002e-07,1.3713900000000002e-07,0
31,9.88481e-08,9.88481e-08,9.88481e-08,0
32,9.93557e-08,9.93557e-08,9.93557e-08,0
33,1.0371300000000001e-07,1.0371300000000001e-07,1.0371300000000001e-07,0
34,5.44348e-08,5.44348e-08,5.44348e-08,0
35,1.6132100000000002e-07,1.6132100000000002e-07,1.6132100000000002e-07,0
36,2.2017000000000002e-07,2.2017000000000002e-07,2.2017000000000002e-07,0
37,1.3613500000000002e-07,1.3613500000000002e-07,1.3613500000000002e-07,0
38,6.67239e-08,6.67239e-08,6.67239e-08,0
39,4.45892e-08,4.45892e-08,4.45892e-08,0
40,8.31506e-08,8.31506e-08,8.31506e-08,0
41,1.21712e-07,1.21712e-07,1.21712e-07,0
42,4.11639e-08,4.11639e-08,4.11639e-08,0
43,4.36318e-08,4.36318e-08,4.36318e-08,0
44,3.73813e-08,3.73813e-08,3.73813e-08,0
45,4.68433e-08,4.68433e-08,4.68433e-08,0
46,6.224320148984618e-08,6.224320148984618e-08,6.224320148984618e-08,0
47,8.148333073776949e-08,8.148333073776949e-08,8.148333073776949e-08,0
48,9.920230000000001e-08,9.920230000000001e-08,9.920230000000001e-08,0
49,1.1524704478205593e-07,1.1524704478205593e-07,1.1524704478205593e-07,0
50,1.3237632689914346e-07,1.3237632689914346e-07,1.3237632689914346e-07,0
51,1.4959649807202442e-07,1.4959649807202442e-07,1.4959649807202442e-07,0
52,1.6591391002146083e-07,1.6591391002146083e-07,1.6591391002146083e-07,0
53,1.8033491446821465e-07,1.8033491446821465e-07,1.8033491446821465e-07,0
54,1.9186586313304782e-07,1.9186586313304782e-07,1.9186586313304782e-07,0
55,1.995131077367223e-07,1.995131077367223e-07,1.995131077367223e-07,0
56,2.02283e-07,2.02283e-07,2.02283e-07,0
57,3.53006e-08,3.53006e-08,3.53006e-08,0
58,4.1378e-08,4.1378e-08,4.1378e-08,0
59,4.74554e-08,4.74554e-08,4.74554e-08,0
60,4.69041e-08,4.69041e-08,4.69041e-08,0
61,4.63528e-08,4.63528e-08,4.63528e-08,0
62,4.93385e-08,4.93385e-08,4.93385e-08,0
63,5.30095e-08,5.30095e-08,5.30095e-08,0
64,4.3968300000000003e-08,4.3968300000000003e-08,4.3968300000000003e-08,0
65,1.0878000000000001e-07,1.0878000000000001e-07,1.0878000000000001e-07,0
66,1.06498e-07,1.06498e-07,1.06498e-07,0
67,1.4488600000000002e-07,1.4488600000000002e-07,1.4488600000000002e-07,0
68,1.55965e-07,1.55965e-07,1.55965e-07,0
69,4.28558e-08,4.28558e-08,4.28558e-08,0
70,6.624620000000001e-08,6.624620000000001e-08,6.624620000000001e-08,0
71,1.3667000000000002e-07,1.3667000000000002e-07,1.3667000000000002e-07,0
72,1.35049e-07,1.35049e-07,1.35049e-07,0
73,9.994644989242612e-08,9.994644989242612e-08,9.994644989242612e-08,0
74,6.62498e-08,6.62498e-08,6.62498e-08,0
75,8.23416e-08,8.23416e-08,8.23416e-08,0
76,1.53605e-07,1.53605e-07,1.53605e-07,0
77,2.82264e-08,2.82264e-08,2.82264e-08,0
78,1.0663500000000001e-07,1.0663500000000001e-07,1.0663500000000001e-07,0
79,1.0274e-07,1.0274e-07,1.0274e-07,0
80,1.1076200000000001e-07,1.1076200000000001e-07,1.1076200000000001e-07,0
81,1.4030627667113198e-07,1.4030627667113198e-07,1.4030627667113198e-07,0
82,1.92642e-07,1.92642e-07,1.92642e-07,0
83,2.79913e-07,2.79913e-07,2.79913e-07,0
84,1.19383e-07,1.19383e-07,1.19383e-07,0
85,1.3753500000000002e-07,1.3753500000000002e-07,1.3753500000000002e-07,0
86,2.06271e-07,2.06271e-07,2.06271e-07,0
87,1.3648300000000002e-07,1.3648300000000002e-07,1.3648300000000002e-07,0
88,1.1501133294732149e-07,1.1501133294732149e-07,1.1501133294732149e-07,0
89,9.29374e-08,9.29374e-08,9.29374e-08,0
90,1.38317e-08,1.38317e-08,1.38317e-08,0
91,6.92364e-08,6.92364e-08,6.92364e-08,0
92,2.1140000000000003e-07,2.1140000000000003e-07,2.1140000000000003e-07,0
93,1.4824e-07,1.4824e-07,1.4824e-07,0
94,3.1529900000000005e-07,3.1529900000000005e-07,3.1529900000000005e-07,0
95,2.9050500000000005e-07,2.9050500000000005e-07,2.9050500000000005e-07,0
96,5.15766e-07,5.15766e-07,5.15766e-07,0
97,3.2767600000000003e-07,3.2767600000000003e-07,3.2767600000000003e-07,0
98,4.0356900000000003e-07,4.0356900000000003e-07,4.0356900000000003e-07,0
99,1.2089000000000002e-07,1.2089000000000002e-07,1.2089000000000002e-07,0
100,8.91603e-08,8.91603e-08,8.91603e-08,0
101,1.2367100000000002e-07,1.2367100000000002e-07,1.2367100000000002e-07,0
102,1.58417e-07,1.58417e-07,1.58417e-07,0
103,1.65975e-07,1.65975e-07,1.65975e-07,0
104,4.2388100000000004e-07,4.2388100000000004e-07,4.2388100000000004e-07,0
105,7.14632e-07,7.14632e-07,7.14632e-07,0
106,9.56101e-07,9.56101e-07,9.56101e-07,0
107,5.64928e-07,5.64928e-07,5.64928e-07,0
108,3.4966100000000005e-07,3.4966100000000005e-07,3.4966100000000005e-07,0
109,2.28054e-07,2.28054e-07,2.28054e-07,0
110,2.77336e-07,2.77336e-07,2.77336e-07,0
111,2.98704e-07,2.98704e-07,2.98704e-07,0
112,3.1296500000000005e-07,3.1296500000000005e-07,3.1296500000000005e-07,0
113,2.3310200000000002e-07,2.3310200000000002e-07,2.3310200000000002e-07,0
114,2.1292900000000001e-07,2.1292900000000001e-07,2.1292900000000001e-07,0
115,1.48164e-07,1.48164e-07,1.48164e-07,0
116,1.95623e-07,1.95623e-07,1.95623e-07,0
117,1.79706e-07,1.79706e-07,1.79706e-07,0
118,2.3618900000000002e-07,2.3618900000000002e-07,2.3618900000000002e-07,0
119,1.80128e-07,1.80128e-07,1.80128e-07,0
120,2.2337800000000003e-07,2.2337800000000003e-07,2.2337800000000003e-07,0
121,3.5708800000000003e-07,3.5708800000000003e-07,3.5708800000000003e-07,0
122,2.6712600000000003e-07,2.6712600000000003e-07,2.6712600000000003e-07,0
123,3.65321e-07,3.65321e-07,3.65321e-07,0
124,3.28703e-07,3.28703e-07,3.28703e-07,0
125,1.9376800000000002e-07,1.9376800000000002e-07,1.9376800000000002e-07,0
126,1.44137e-07,1.44137e-07,1.44137e-07,0
127,2.8596300000000003e-07,2.8596300000000003e-07,2.8596300000000003e-07,0
128,1.90866e-07,1.90866e-07,1.90866e-07,0
129,5.33951e-08,5.33951e-08,5.33951e-08,0
130,3.36017e-08,3.36017e-08,3.36017e-08,0
131,9.63118e-08,9.63118e-08,9.63118e-08,0
132,1.31239e-07,1.31239e-07,1.31239e-07,0
133,1.0967798888888889e-07,1.0967798888888889e-07,1.0967798888888889e-07,0
134,6.963611111111112e-08,6.963611111111112e-08,6.963611111111112e-08,0
135,4.8075100000000004e-08,4.8075100000000004e-08,4.8075100000000004e-08,0
136,9.27318e-08,9.27318e-08,9.27318e-08,0
137,4.55609e-08,4.55609e-08,4.55609e-08,0
138,1.90184e-08,1.90184e-08,1.90184e-08,0
139,2.3362360448568323e-08,2.3362360448568323e-08,2.3362360448568323e-08,0
140,3.43948e-08,3.43948e-08,3.43948e-08,0
141,6.71772e-08,6.71772e-08,6.71772e-08,0
142,7.841280817404426e-08,7.841280817404426e-08,7.841280817404426e-08,0
143,8.56841318647999e-08,8.56841318647999e-08,8.56841318647999e-08,0
144,8.826849999999998e-08,8.826849999999998e-08,8.826849999999998e-08,0
145,4.00012e-08,4.00012e-08,4.00012e-08,0
146,2.49816e-08,2.49816e-08,2.49816e-08,0
147,3.744455639056465e-08,3.744455639056465e-08,3.744455639056465e-08,0
148,5.71178e-08,5.71178e-08,5.71178e-08,0
149,6.80963465992407e-08,6.80963465992407e-08,6.80963465992407e-08,0
150,7.623411649356712e-08,7.623411649356712e-08,7.623411649356712e-08,0
151,8.759602814110998e-08,8.759602814110998e-08,8.759602814110998e-08,0
152,1.08247e-07,1.08247e-07,1.08247e-07,0
153,2.2116100000000003e-07,2.2116100000000003e-07,2.2116100000000003e-07,0
154,1.6174500000000002e-07,1.6174500000000002e-07,1.6174500000000002e-07,0
155,4.3598e-08,4.3598e-08,4.3598e-08,0
156,6.0679e-08,6.0679e-08,6.0679e-08,0
157,1.74402e-07,1.74402e-07,1.74402e-07,0
158,5.44085e-08,5.44085e-08,5.44085e-08,0
159,6.807945e-08,6.807945e-08,6.807945e-08,0
160,8.175039999999998e-08,8.175039999999998e-08,8.175039999999998e-08,0
161,6.600485e-08,6.600485e-08,6.600485e-08,0
162,5.02593e-08,5.02593e-08,5.02593e-08,0
163,1.7357500000000002e-07,1.7357500000000002e-07,1.7357500000000002e-07,0
164,1.69088e-07,1.69088e-07,1.69088e-07,0
165,3.6138e-07,3.6138e-07,3.6138e-07,0
166,2.1321900000000002e-07,2.1321900000000002e-07,2.1321900000000002e-07,0
167,1.2285200000000002e-07,1.2285200000000002e-07,1.2285200000000002e-07,0
168,1.41091e-07,1.41091e-07,1.41091e-07,0
169,1.5933e-07,1.5933e-07,1.5933e-07,0
170,4.98731e-08,4.98731e-08,4.98731e-08,0
171,4.65197e-08,4.65197e-08,4.65197e-08,0
172,3.88657e-08,3.88657e-08,3.88657e-08,0
173,4.092249355281207e-08,4.092249355281207e-08,4.092249355281207e-08,0
174,4.643470027434842e-08,4.643470027434842e-08,4.643470027434842e-08,0
175,5.441505925925926e-08,5.441505925925926e-08,5.441505925925926e-08,0
176,6.387630960219478e-08,6.387630960219478e-08,6.387630960219478e-08,0
177,7.383119039780523e-08,7.383119039780523e-08,7.383119039780523e-08,0
178,8.329244074074075e-08,8.329244074074075e-08,8.329244074074075e-08,0
179,9.12727997256516e-08,9.12727997256516e-08,9.12727997256516e-08,0
180,9.678500644718792e-08,9.678500644718792e-08,9.678500644718792e-08,0
181,9.88418e-08,9.88418e-08,9.88418e-08,0
182,9.401311250000001e-08,9.401311250000001e-08,9.401311250000001e-08,0
183,8.339000000000001e-08,8.339000000000001e-08,8.339000000000001e-08,0
184,7.276688749999998e-08,7.276688749999998e-08,7.276688749999998e-08,0
185,6.79382e-08,6.79382e-08,6.79382e-08,0
186,1.6015200000000002e-07,1.6015200000000002e-07,1.6015200000000002e-07,0
187,1.337193259259259e-07,1.337193259259259e-07,1.337193259259259e-07,0
188,8.463007407407406e-08,8.463007407407406e-08,8.463007407407406e-08,0
189,5.8197400000000003e-08,5.8197400000000003e-08,5.8197400000000003e-08,0
190,1.20412e-07,1.20412e-07,1.20412e-07,0
191,1.1886400000000001e-07,1.1886400000000001e-07,1.1886400000000001e-07,0
192,1.0529900000000001e-07,1.0529900000000001e-07,1.0529900000000001e-07,0
193,7.8487e-08,7.8487e-08,7.8487e-08,0
194,1.0083200000000001e-07,1.0083200000000001e-07,1.0083200000000001e-07,0
195,5.0661200000000004e-08,5.0661200000000004e-08,5.0661200000000004e-08,0
196,7.586789999999998e-08,7.586789999999998e-08,7.586789999999998e-08,0
197,1.7565700000000002e-07,1.7565700000000002e-07,1.7565700000000002e-07,0
198,2.0045400000000003e-07,2.0045400000000003e-07,2.0045400000000003e-07,0
199,4.48485e-08,4.48485e-08,4.48485e-08,0
200,8.44522e-08,8.44522e-08,8.44522e-08,0
201,3.90464e-07,3.90464e-07,3.90464e-07,0
202,1.0538200000000001e-07,1.0538200000000001e-07,1.0538200000000001e-07,0
203,8.484389999999999e-09,8.484389999999999e-09,8.484389999999999e-09,0
204,3.63595e-08,3.63595e-08,3.63595e-08,0
205,1.48731e-07,1.48731e-07,1.48731e-07,0
206,1.11353e-07,1.11353e-07,1.11353e-07,0
207,5.32047e-08,5.32047e-08,5.32047e-08,0
208,3.99461e-08,3.99461e-08,3.99461e-08,0
209,2.2641048040600376e-08,2.2641048040600376e-08,2.2641048040600376e-08,0
210,1.21081e-08,1.21081e-08,1.21081e-08,0
211,1.5090425629962753e-08,1.5090425629962753e-08,1.5090425629962753e-08,0
212,2.210392667990067e-08,2.210392667990067e-08,2.210392667990067e-08,0
213,3.024838938988826e-08,3.024838938988826e-08,3.024838938988826e-08,0
214,3.66236e-08,3.66236e-08,3.66236e-08,0
215,4.009374160970566e-08,4.009374160970566e-08,4.009374160970566e-08,0
216,4.41041e-08,4.41041e-08,4.41041e-08,0
217,5.477904039131849e-08,5.477904039131849e-08,5.477904039131849e-08,0
218,6.64484e-08,6.64484e-08,6.64484e-08,0
219,7.400536745360531e-08,7.400536745360531e-08,7.400536745360531e-08,0
220,8.145505275528127e-08,8.145505275528127e-08,8.145505275528127e-08,0
221,8.874498622462399e-08,8.874498622462399e-08,8.874498622462399e-08,0
222,9.582269818122961e-08,9.582269818122961e-08,9.582269818122961e-08,0
223,1.0263571894469431e-07,1.0263571894469431e-07,1.0263571894469431e-07,0
224,1.0913157883461417e-07,1.0913157883461417e-07,1.0913157883461417e-07,0
225,1.1525780817058539e-07,1.1525780817058539e-07,1.1525780817058539e-07,0
226,1.209619372722041e-07,1.209619372722041e-07,1.209619372722041e-07,0
227,1.2619149645906644e-07,1.2619149645906644e-07,1.2619149645906644e-07,0
228,1.3089401605076855e-07,1.3089401605076855e-07,1.3089401605076855e-07,0
229,1.350170263669065e-07,1.350170263669065e-07,1.350170263669065e-07,0
230,1.3850805772707652e-07,1.3850805772707652e-07,1.3850805772707652e-07,0
231,1.4131464045087477e-07,1.4131464045087477e-07,1.4131464045087477e-07,0
232,1.4338430485789734e-07,1.4338430485789734e-07,1.4338430485789734e-07,0
233,1.4466458126774036e-07,1.4466458126774036e-07,1.4466458126774036e-07,0
234,1.45103e-07,1.45103e-07,1.45103e-07,0
235,9.96438e-08,9.96438e-08,9.96438e-08,0
236,1.35657e-07,1.35657e-07,1.35657e-07,0
237,4.82081e-08,4.82081e-08,4.82081e-08,0
238,5.68866e-08,5.68866e-08,5.68866e-08,0
239,1.32135e-07,1.32135e-07,1.32135e-07,0
240,6.37618e-08,6.37618e-08,6.37618e-08,0
241,1.32871e-07,1.32871e-07,1.32871e-07,0
242,1.0503400000000001e-07,1.0503400000000001e-07,1.0503400000000001e-07,0
243,9.01234e-08,9.01234e-08,9.01234e-08,0
244,4.04163e-08,4.04163e-08,4.04163e-08,0
245,1.2338700000000002e-07,1.2338700000000002e-07,1.2338700000000002e-07,0
246,1.3786100000000002e-07,1.3786100000000002e-07,1.3786100000000002e-07,0
247,7.14448e-08,7.14448e-08,7.14448e-08,0
248,5.955704431065114e-08,5.955704431065114e-08,5.955704431065114e-08,0
249,5.0941221849482554e-08,5.0941221849482554e-08,5.0941221849482554e-08,0
250,4.523529723298837e-08,4.523529723298837e-08,4.523529723298837e-08,0
251,4.2077235077662796e-08,4.2077235077662796e-08,4.2077235077662796e-08,0
252,4.1105e-08,4.1105e-08,4.1105e-08,0
253,4.422624314078754e-08,4.422624314078754e-08,4.422624314078754e-08,0
