time,original,missing,interpolated,mask
0,1.0,1.0,1.0,0
1,1.0,1.0,1.0,0
2,1.026,1.026,1.026,0
3,1.0751566666666668,1.0751566666666668,1.0751566666666668,0
4,1.1456131764000002,1.1456131764000002,1.1456131764000002,0
5,1.236317170692351,1.236317170692351,1.236317170692351,0
6,1.346883543428101,1.346883543428101,1.346883543428101,0
7,1.4774923478684758,1.4774923478684758,1.4774923478684758,0
8,1.6288142132177872,1.6288142132177872,1.6288142132177872,0
9,1.8019572717941623,1.8019572717941623,1.8019572717941623,0
10,1.998430804872221,1.998430804872221,1.998430804872221,0
11,2.220121683732517,2.220121683732517,2.220121683732517,0
12,2.4692802570439603,2.4692802570439603,2.4692802570439603,0
13,2.748512641279831,2.748512641279831,2.748512641279831,0
14,3.0607764129637878,3.0607764129637878,3.0607764129637878,0
15,3.4093764662250017,3.4093764662250017,3.4093764662250017,0
16,3.7979572522780254,3.7979572522780254,3.7979572522780254,0
17,4.230486703839468,4.230486703839468,4.230486703839468,0
18,4.711225790837451,4.711225790837451,4.711225790837451,0
19,5.2446757591584845,5.2446757591584845,5.2446757591584845,0
20,5.835492566428736,5.835492566428736,5.835492566428736,0
21,6.488354752059635,6.488354752059635,6.488354752059635,0
22,7.207766916232549,7.207766916232549,7.207766916232549,0
23,7.997776210491928,7.997776210491928,7.997776210491928,0
24,8.861574088902051,8.861574088902051,8.861574088902051,0
25,9.800950821048652,9.800950821048652,9.800950821048652,0
26,10.815567490076651,10.815567490076651,10.815567490076651,0
27,11.902012164606651,11.902012164606651,11.902012164606651,0
28,13.052618140640684,13.052618140640684,13.052618140640684,0
29,14.254049243671066,14.254049243671066,14.254049243671066,0
30,15.485708870384482,15.485708870384482,15.485708870384482,0
31,16.718115085128414,16.718115085128414,16.718115085128414,0
32,17.911509580079926,17.911509580079926,17.911509580079926,0
33,19.01512781856343,19.01512781856343,19.01512781856343,0
34,19.96772045447606,19.96772045447606,19.96772045447606,0
35,20.700011599171194,20.700011599171194,20.700011599171194,0
36,21.139691785369237,21.139691785369237,21.139691785369237,0
37,21.21913659552547,21.21913659552547,21.21913659552547,0
38,20.8852397709095,20.8852397709095,20.8852397709095,0
39,20.109666994774575,20.109666994774575,20.109666994774575,0
40,18.89688574723792,18.89688574723792,18.89688574723792,0
41,17.287144888755957,17.287144888755957,17.287144888755957,0
42,15.352659499629421,15.352659499629421,15.352659499629421,0
43,13.187442363675881,13.187442363675881,13.187442363675881,0
44,10.893524789236814,10.893524789236814,10.893524789236814,0
45,8.567457514809934,8.567457514809934,8.567457514809934,0
46,6.290380611211302,6.290380611211302,6.290380611211302,0
47,4.123128629880224,4.123128629880224,4.123128629880224,0
48,2.105941502003087,2.105941502003087,2.105941502003087,0
49,0.26124794606816404,0.26124794606816404,0.26124794606816404,0
50,-1.402176878776669,-1.402176878776669,-1.402176878776669,0
51,-2.8849607994028545,-2.8849607994028545,-2.8849607994028545,0
52,-4.193505440814818,-4.193505440814818,-4.193505440814818,0
53,-5.337235529908805,-5.337235529908805,-5.337235529908805,0
54,-6.326708813173147,-6.326708813173147,-6.326708813173147,0
55,-7.172444917188675,-7.172444917188675,-7.172444917188675,0
56,-7.884300585096533,-7.884300585096533,-7.884300585096533,0
57,-8.471232412345087,-8.471232412345087,-8.471232412345087,0
58,-8.94131683005068,-8.94131683005068,-8.94131683005068,0
59,-9.301926140536604,-9.301926140536604,-9.301926140536604,0
60,-9.559983669665641,-9.559983669665641,-9.559983669665641,0
61,-9.722240009044238,-9.722240009044238,-9.722240009044238,0
62,-9.795527167951455,-9.795527167951455,-9.795527167951455,0
63,-9.786959863063755,-9.786959863063755,-9.786959863063755,0
64,-9.704064381179656,-9.704064381179656,-9.704064381179656,0
65,-9.554826040694806,-9.554826040694806,-9.554826040694806,0
66,-9.34765618641697,-9.34765618641697,-9.34765618641697,0
67,-9.0912883418306,-9.0912883418306,-9.0912883418306,0
68,-8.79461987938282,-8.79461987938282,-8.79461987938282,0
69,-8.46651971878535,-8.46651971878535,-8.46651971878535,0
70,-8.115623825975026,-8.115623825975026,-8.115623825975026,0
71,-7.750138808220905,-7.750138808220905,-7.750138808220905,0
72,-7.377670248466057,-7.377670248466057,-7.377670248466057,0
