time,original,missing,interpolated,mask
0,-0.13199370606077784,-0.13199370606077784,-0.13199370606077784,0
1,0.2989616237388992,0.2989616237388992,0.2989616237388992,0
2,0.26519951364259575,0.26519951364259575,0.26519951364259575,0
3,0.259109569722493,,0.3248251576063081,1
4,0.1930114304904035,,0.3844508015700205,1
5,0.7504678536999683,,0.4440764455337328,1
6,0.3024467239318906,,0.5037020894974452,1
7,0.4102479600555653,,0.5633277334611575,1
8,0.6229533774248699,0.6229533774248699,0.6229533774248699,0
9,0.4783775102437906,,0.628260055274253,1
10,0.4561543029752042,,0.633566733123636,1
11,0.6388734109730191,0.6388734109730191,0.6388734109730191,0
12,1.004729902896485,,0.6574250330748135,1
13,0.2940044729191758,,0.675976655176608,1
14,0.2957907597057555,,0.6945282772784025,1
15,0.7130798993801969,0.7130798993801969,0.7130798993801969,0
16,0.9606124037019277,,0.810411013810779,1
17,0.9085700914174152,,0.9077421282413609,1
18,0.8841724572385958,,1.0050732426719429,1
19,1.28278157849221,,1.102404357102525,1
20,1.199735471533107,1.199735471533107,1.199735471533107,0
21,1.2119799463050664,1.2119799463050664,1.2119799463050664,0
22,0.7707767340297422,0.7707767340297422,0.7707767340297422,0
23,1.105546526194366,1.105546526194366,1.105546526194366,0
24,1.0344448156784114,,1.1762287564138547,1
25,1.0897050203762135,,1.2469109866333437,1
26,1.3175932168528324,1.3175932168528324,1.3175932168528324,0
27,1.073557947222471,,1.229178692134496,1
28,1.1407641674161595,1.1407641674161595,1.1407641674161595,0
29,0.924823220874436,0.924823220874436,0.924823220874436,0
30,0.9814983961436087,0.9814983961436087,0.9814983961436087,0
31,0.8987565657673702,,0.9337491743268356,1
32,0.9049507058469807,,0.8859999525100624,1
33,0.8382507306932893,0.8382507306932893,0.8382507306932893,0
34,0.8826876845959928,0.8826876845959928,0.8826876845959928,0
35,0.5404408030355079,0.5404408030355079,0.5404408030355079,0
36,0.8446857503515879,,0.5325296322795121,1
37,0.7409410167762732,,0.5246184615235164,1
38,0.8841477403614122,,0.5167072907675206,1
39,0.4715725814261359,,0.508796120011525,1
40,0.4749941629825656,,0.5008849492555292,1
41,0.5396261331688851,,0.49297377849953344,1
42,0.42865648753946983,,0.4850626077435377,1
43,-0.012796517868802093,,0.477151436987542,1
44,0.46924026623154624,0.46924026623154624,0.46924026623154624,0
45,0.09537571419014848,,0.28038696517579104,1
46,0.09153366412003586,0.09153366412003586,0.09153366412003586,0
47,-0.2206377296794246,-0.2206377296794246,-0.2206377296794246,0
48,0.04702709470995377,,-0.18387241785504904,1
49,-0.14710710603067345,-0.14710710603067345,-0.14710710603067345,0
50,-0.04050538897968345,-0.04050538897968345,-0.04050538897968345,0
51,-0.10974224315315038,-0.10974224315315038,-0.10974224315315038,0
52,-0.18777807896154353,-0.18777807896154353,-0.18777807896154353,0
53,-0.2294696448357407,,-0.23129880418075116,1
54,-0.327325350208161,,-0.2748195293999588,1
55,-0.11596258286940059,,-0.3183402546191664,1
56,-0.361860979838374,-0.361860979838374,-0.361860979838374,0
57,-0.5187202171139179,-0.5187202171139179,-0.5187202171139179,0
