time,original,missing,interpolated,mask
0,0.0,0.0,0.0,0
1,0.06279051952931337,0.06279051952931337,0.06279051952931337,0
2,0.12533323356430426,0.12533323356430426,0.12533323356430426,0
3,0.1873813145857246,0.1873813145857246,0.1873813145857246,0
4,0.2486898871648548,0.2486898871648548,0.2486898871648548,0
5,0.3090169943749474,0.3090169943749474,0.3090169943749474,0
6,0.3681245526846779,0.3681245526846779,0.3681245526846779,0
7,0.4257792915650727,0.4257792915650727,0.4257792915650727,0
8,0.4817536741017153,0.4817536741017153,0.4817536741017153,0
9,0.5358267949789967,0.5358267949789967,0.5358267949789967,0
10,0.5877852522924731,0.5877852522924731,0.5877852522924731,0
11,0.6374239897486896,0.6374239897486896,0.6374239897486896,0
12,0.6845471059286886,0.6845471059286886,0.6845471059286886,0
13,0.7289686274214116,0.7289686274214116,0.7289686274214116,0
14,0.7705132427757893,0.7705132427757893,0.7705132427757893,0
15,0.8090169943749475,0.8090169943749475,0.8090169943749475,0
16,0.8443279255020151,0.8443279255020151,0.8443279255020151,0
17,0.8763066800438637,0.8763066800438637,0.8763066800438637,0
18,0.9048270524660196,0.9048270524660196,0.9048270524660196,0
19,0.9297764858882513,0.9297764858882513,0.9297764858882513,0
20,0.9510565162951535,0.9510565162951535,0.9510565162951535,0
21,0.9685831611286311,0.9685831611286311,0.9685831611286311,0
22,0.9822872507286886,0.9822872507286886,0.9822872507286886,0
23,0.9921147013144779,0.9921147013144779,0.9921147013144779,0
24,0.9980267284282716,0.9980267284282716,0.9980267284282716,0
25,1.0,1.0,1.0,0
26,0.9980267284282716,0.9980267284282716,0.9980267284282716,0
27,0.9921147013144778,0.9921147013144778,0.9921147013144778,0
28,0.9822872507286886,0.9822872507286886,0.9822872507286886,0
29,0.9685831611286312,0.9685831611286312,0.9685831611286312,0
30,0.9510565162951536,0.9510565162951536,0.9510565162951536,0
31,0.9297764858882515,0.9297764858882515,0.9297764858882515,0
32,0.9048270524660195,0.9048270524660195,0.9048270524660195,0
33,0.8763066800438635,0.8763066800438635,0.8763066800438635,0
34,0.844327925502015,0.844327925502015,0.844327925502015,0
35,0.8090169943749475,0.8090169943749475,0.8090169943749475,0
36,0.7705132427757893,0.7705132427757893,0.7705132427757893,0
37,0.7289686274214114,0.7289686274214114,0.7289686274214114,0
38,0.6845471059286888,0.6845471059286888,0.6845471059286888,0
39,0.6374239897486899,0.6374239897486899,0.6374239897486899,0
40,0.5877852522924732,0.5877852522924732,0.5877852522924732,0
41,0.5358267949789967,0.5358267949789967,0.5358267949789967,0
42,0.4817536741017156,0.4817536741017156,0.4817536741017156,0
43,0.4257792915650729,0.4257792915650729,0.4257792915650729,0
44,0.36812455268467814,0.36812455268467814,0.36812455268467814,0
45,0.3090169943749475,0.3090169943749475,0.3090169943749475,0
46,0.24868988716485482,0.24868988716485482,0.24868988716485482,0
47,0.18738131458572457,0.18738131458572457,0.18738131458572457,0
48,0.12533323356430454,0.12533323356430454,0.12533323356430454,0
49,0.06279051952931358,0.06279051952931358,0.06279051952931358,0
50,1.2246467991473532e-16,1.2246467991473532e-16,1.2246467991473532e-16,0
51,-0.06279051952931335,-0.06279051952931335,-0.06279051952931335,0
52,-0.12533323356430429,-0.12533323356430429,-0.12533323356430429,0
53,-0.18738131458572477,-0.18738131458572477,-0.18738131458572477,0
54,-0.24868988716485502,,-0.2085731407443148,1
55,-0.30901699437494773,,-0.22976496690290482,1
56,-0.3681245526846783,,-0.2509567930614948,1
57,-0.42577929156507266,,-0.2721486192200849,1
58,-0.481753674101715,,-0.2933404453786749,1
59,-0.5358267949789964,,-0.31453227153726493,1
60,-0.587785252292473,,-0.33572409769585493,1
61,-0.6374239897486896,,-0.3569159238544449,1
62,-0.6845471059286887,,-0.378107750013035,1
63,-0.7289686274214113,,-0.39929957617162504,1
64,-0.7705132427757894,,-0.42049140233021504,1
65,-0.8090169943749473,,-0.44168322848880504,1
66,-0.8443279255020153,,-0.4628750546473951,1
67,-0.8763066800438636,,-0.4840668808059851,1
68,-0.9048270524660198,,-0.5052587069645751,1
69,-0.9297764858882515,,-0.5264505331231651,1
70,-0.9510565162951535,,-0.5476423592817552,1
71,-0.968583161128631,,-0.5688341854403451,1
72,-0.9822872507286887,,-0.5900260115989352,1
73,-0.9921147013144778,,-0.6112178377575253,1
74,-0.9980267284282716,,-0.6324096639161152,1
75,-1.0,,-0.6536014900747054,1
76,-0.9980267284282716,,-0.6747933162332953,1
77,-0.9921147013144779,,-0.6959851423918852,1
78,-0.9822872507286887,,-0.7171769685504754,1
79,-0.9685831611286311,,-0.7383687947090654,1
80,-0.9510565162951536,,-0.7595606208676553,1
81,-0.9297764858882512,,-0.7807524470262455,1
82,-0.9048270524660196,,-0.8019442731848354,1
83,-0.8763066800438634,,-0.8231360993434256,1
84,-0.8443279255020155,-0.8443279255020155,-0.8443279255020155,0
85,-0.8090169943749476,-0.8090169943749476,-0.8090169943749476,0
86,-0.7705132427757896,-0.7705132427757896,-0.7705132427757896,0
87,-0.7289686274214116,-0.7289686274214116,-0.7289686274214116,0
88,-0.684547105928689,-0.684547105928689,-0.684547105928689,0
89,-0.6374239897486896,-0.6374239897486896,-0.6374239897486896,0
90,-0.5877852522924734,-0.5877852522924734,-0.5877852522924734,0
91,-0.5358267949789963,-0.5358267949789963,-0.5358267949789963,0
92,-0.4817536741017153,-0.4817536741017153,-0.4817536741017153,0
93,-0.4257792915650722,-0.4257792915650722,-0.4257792915650722,0
94,-0.36812455268467786,-0.36812455268467786,-0.36812455268467786,0
95,-0.3090169943749477,-0.3090169943749477,-0.3090169943749477,0
96,-0.24868988716485535,-0.24868988716485535,-0.24868988716485535,0
97,-0.18738131458572468,-0.18738131458572468,-0.18738131458572468,0
98,-0.12533323356430465,-0.12533323356430465,-0.12533323356430465,0
99,-0.06279051952931326,-0.06279051952931326,-0.06279051952931326,0
100,-2.4492935982947064e-16,-2.4492935982947064e-16,-2.4492935982947064e-16,0
101,0.06279051952931278,0.06279051952931278,0.06279051952931278,0
102,0.12533323356430418,0.12533323356430418,0.12533323356430418,0
103,0.1873813145857242,0.1873813145857242,0.1873813145857242,0
104,0.24868988716485488,0.24868988716485488,0.24868988716485488,0
105,0.3090169943749472,0.3090169943749472,0.3090169943749472,0
106,0.3681245526846782,,0.32390397012981303,1
107,0.42577929156507255,,0.3387909458846789,1
108,0.48175367410171566,,0.3536779216395447,1
109,0.5358267949789967,,0.36856489739441056,1
110,0.5877852522924736,,0.3834518731492764,1
111,0.63742398974869,,0.3983388489041423,1
112,0.6845471059286893,,0.41322582465900815,1
113,0.7289686274214119,,0.428112800413874,1
114,0.7705132427757893,,0.44299977616873987,1
115,0.8090169943749478,,0.45788675192360573,1
116,0.8443279255020147,,0.4727737276784716,1
117,0.8763066800438631,,0.4876607034333374,1
118,0.9048270524660194,,0.5025476791882033,1
119,0.9297764858882511,,0.5174346549430691,1
120,0.9510565162951535,,0.5323216306979349,1
121,0.968583161128631,,0.5472086064528008,1
122,0.9822872507286886,,0.5620955822076666,1
123,0.9921147013144778,,0.5769825579625325,1
124,0.9980267284282716,,0.5918695337173984,1
125,1.0,,0.6067565094722642,1
126,0.9980267284282716,,0.6216434852271301,1
127,0.9921147013144779,,0.636530460981996,1
128,0.9822872507286886,,0.6514174367368617,1
129,0.9685831611286311,,0.6663044124917277,1
130,0.9510565162951536,,0.6811913882465934,1
131,0.9297764858882517,,0.6960783640014594,1
132,0.9048270524660192,,0.7109653397563251,1
133,0.8763066800438634,,0.7258523155111911,1
134,0.8443279255020151,,0.7407392912660569,1
135,0.8090169943749476,,0.7556262670209227,1
136,0.7705132427757886,0.7705132427757886,0.7705132427757886,0
137,0.728968627421411,0.728968627421411,0.728968627421411,0
138,0.6845471059286884,0.6845471059286884,0.6845471059286884,0
139,0.6374239897486897,0.6374239897486897,0.6374239897486897,0
140,0.5877852522924734,0.5877852522924734,0.5877852522924734,0
141,0.5358267949789972,0.5358267949789972,0.5358267949789972,0
142,0.4817536741017162,0.4817536741017162,0.4817536741017162,0
143,0.42577929156507394,0.42577929156507394,0.42577929156507394,0
144,0.368124552684678,0.368124552684678,0.368124552684678,0
145,0.3090169943749478,0.3090169943749478,0.3090169943749478,0
146,0.2486898871648555,0.2486898871648555,0.2486898871648555,0
147,0.18738131458572568,0.18738131458572568,0.18738131458572568,0
148,0.1253332335643039,0.1253332335643039,0.1253332335643039,0
149,0.06279051952931339,0.06279051952931339,0.06279051952931339,0
150,3.6739403974420594e-16,3.6739403974420594e-16,3.6739403974420594e-16,0
151,-0.06279051952931265,-0.06279051952931265,-0.06279051952931265,0
152,-0.12533323356430318,-0.12533323356430318,-0.12533323356430318,0
153,-0.18738131458572496,-0.18738131458572496,-0.18738131458572496,0
154,-0.24868988716485477,-0.24868988716485477,-0.24868988716485477,0
155,-0.30901699437494706,-0.30901699437494706,-0.30901699437494706,0
156,-0.36812455268467725,-0.36812455268467725,-0.36812455268467725,0
157,-0.42577929156507327,-0.42577929156507327,-0.42577929156507327,0
158,-0.48175367410171555,-0.48175367410171555,-0.48175367410171555,0
159,-0.5358267949789965,-0.5358267949789965,-0.5358267949789965,0
160,-0.5877852522924728,-0.5877852522924728,-0.5877852522924728,0
161,-0.6374239897486905,-0.6374239897486905,-0.6374239897486905,0
162,-0.6845471059286892,-0.6845471059286892,-0.6845471059286892,0
163,-0.7289686274214118,-0.7289686274214118,-0.7289686274214118,0
164,-0.7705132427757891,-0.7705132427757891,-0.7705132427757891,0
165,-0.8090169943749472,,-0.7556262670209233,1
166,-0.8443279255020156,,-0.7407392912660574,1
167,-0.876306680043863,,-0.7258523155111916,1
168,-0.9048270524660189,,-0.7109653397563258,1
169,-0.9297764858882513,,-0.69607836400146,1
170,-0.9510565162951534,,-0.6811913882465941,1
171,-0.968583161128631,,-0.6663044124917282,1
172,-0.9822872507286885,,-0.6514174367368624,1
173,-0.9921147013144779,,-0.6365304609819965,1
174,-0.9980267284282716,,-0.6216434852271306,1
175,-1.0,,-0.6067565094722649,1
176,-0.9980267284282716,,-0.5918695337173989,1
177,-0.992114701314478,,-0.5769825579625332,1
178,-0.9822872507286886,,-0.5620955822076673,1
179,-0.9685831611286312,,-0.5472086064528014,1
180,-0.9510565162951538,,-0.5323216306979356,1
181,-0.9297764858882517,,-0.5174346549430697,1
182,-0.9048270524660192,,-0.5025476791882039,1
183,-0.8763066800438635,,-0.48766070343333806,1
184,-0.8443279255020152,,-0.4727737276784722,1
185,-0.8090169943749477,,-0.45788675192360634,1
186,-0.7705132427757886,,-0.44299977616874053,1
187,-0.7289686274214111,,-0.4281128004138747,1
188,-0.6845471059286885,,-0.4132258246590088,1
189,-0.6374239897486897,,-0.39833884890414295,1
190,-0.5877852522924735,,-0.3834518731492771,1
191,-0.5358267949789958,,-0.3685648973944113,1
192,-0.4817536741017163,,-0.3536779216395454,1
193,-0.42577929156507405,,-0.33879094588467956,1
194,-0.3681245526846781,,-0.32390397012981376,1
195,-0.3090169943749479,-0.3090169943749479,-0.3090169943749479,0
196,-0.2486898871648556,-0.2486898871648556,-0.2486898871648556,0
197,-0.1873813145857258,-0.1873813145857258,-0.1873813145857258,0
198,-0.125333233564304,-0.125333233564304,-0.125333233564304,0
199,-0.06279051952931351,-0.06279051952931351,-0.06279051952931351,0
200,-4.898587196589413e-16,-4.898587196589413e-16,-4.898587196589413e-16,0
201,0.0627905195293143,0.0627905195293143,0.0627905195293143,0
202,0.12533323356430304,0.12533323356430304,0.12533323356430304,0
203,0.18738131458572485,0.18738131458572485,0.18738131458572485,0
204,0.24868988716485466,0.24868988716485466,0.24868988716485466,0
205,0.30901699437494523,0.30901699437494523,0.30901699437494523,0
206,0.36812455268467714,0.36812455268467714,0.36812455268467714,0
207,0.42577929156507155,0.42577929156507155,0.42577929156507155,0
208,0.48175367410171543,0.48175367410171543,0.48175367410171543,0
209,0.535826794978995,0.535826794978995,0.535826794978995,0
210,0.5877852522924727,0.5877852522924727,0.5877852522924727,0
211,0.6374239897486891,0.6374239897486891,0.6374239897486891,0
212,0.6845471059286891,0.6845471059286891,0.6845471059286891,0
213,0.7289686274214104,0.7289686274214104,0.7289686274214104,0
214,0.7705132427757891,0.7705132427757891,0.7705132427757891,0
215,0.8090169943749471,0.8090169943749471,0.8090169943749471,0
