time,original,missing,interpolated,mask
0,0.0,0.0,0.0,0
1,-0.7120852799798056,,0.020450860633370947,1
2,1.6373096561207543,,0.040901721266741894,1
3,-1.9136433235096568,,0.06135258190011284,1
4,-0.1902125798515335,,0.08180344253348379,1
5,1.9497130141798402,,0.10225430316685474,1
6,1.7975794178431213,,0.12270516380022568,1
7,1.6804541223418854,,0.14315602443359662,1
8,0.5066860062180316,,0.16360688506696758,1
9,0.4451263357836047,,0.18405774570033853,1
10,0.7161029261866629,,0.2045086063337095,1
11,0.2249594669670804,0.2249594669670804,0.2249594669670804,0
12,1.6454184423920961,1.6454184423920961,1.6454184423920961,0
13,1.9783321665996705,1.9783321665996705,1.9783321665996705,0
14,1.3714306415271535,1.3714306415271535,1.3714306415271535,0
15,2.264202796494928,2.264202796494928,2.264202796494928,0
16,1.6478614604362627,1.6478614604362627,1.6478614604362627,0
17,2.2209390186814195,2.2209390186814195,2.2209390186814195,0
18,-1.0050850287897544,-1.0050850287897544,-1.0050850287897544,0
19,-1.5411166860947354,-1.5411166860947354,-1.5411166860947354,0
20,0.12737224764892652,,-1.754726274792878,1
21,-6.230033456752182,,-1.9683358634910206,1
22,-6.8959781382810315,,-2.1819454521891632,1
23,-6.1255109071185,,-2.395555040887306,1
24,-3.501155088439033,,-2.6091646295854485,1
25,-2.1771716027039365,,-2.822774218283591,1
26,-1.3032904164763295,,-3.0363838069817337,1
27,-2.2682177966510078,,-3.2499933956798763,1
28,-1.7408194360307894,,-3.463602984378019,1
29,-3.7751040855190023,,-3.6772125730761616,1
30,-3.890822161774304,-3.890822161774304,-3.890822161774304,0
31,-5.125417713002273,-5.125417713002273,-5.125417713002273,0
32,-5.052109277856514,-5.052109277856514,-5.052109277856514,0
33,-5.290002215504614,-5.290002215504614,-5.290002215504614,0
34,-5.509217273318254,-5.509217273318254,-5.509217273318254,0
35,-7.321568121979891,-7.321568121979891,-7.321568121979891,0
36,-4.397518465517045,-4.397518465517045,-4.397518465517045,0
37,-4.212178665851236,-4.212178665851236,-4.212178665851236,0
38,-2.8450868228576702,,-4.391610435229866,1
39,-4.682344727831752,,-4.571042204608497,1
