time,original,missing,interpolated,mask
0,0.0,0.0,0.0,0
1,0.06279051952931337,0.06279051952931337,0.06279051952931337,0
2,0.12533323356430426,0.12533323356430426,0.12533323356430426,0
3,0.1873813145857246,0.1873813145857246,0.1873813145857246,0
4,0.2486898871648548,0.2486898871648548,0.2486898871648548,0
5,0.3090169943749474,0.3090169943749474,0.3090169943749474,0
6,0.3681245526846779,,0.32390397012981326,1
7,0.4257792915650727,,0.3387909458846791,1
8,0.4817536741017153,,0.353677921639545,1
9,0.5358267949789967,,0.36856489739441084,1
10,0.5877852522924731,,0.38345187314927676,1
11,0.6374239897486896,,0.3983388489041426,1
12,0.6845471059286886,,0.4132258246590085,1
13,0.7289686274214116,,0.42811280041387434,1
14,0.7705132427757893,,0.4429997761687402,1
15,0.8090169943749475,,0.45788675192360606,1
16,0.8443279255020151,,0.4727737276784719,1
17,0.8763066800438637,,0.4876607034333378,1
18,0.9048270524660196,,0.5025476791882036,1
19,0.9297764858882513,,0.5174346549430695,1
20,0.9510565162951535,,0.5323216306979354,1
21,0.9685831611286311,,0.5472086064528012,1
22,0.9822872507286886,,0.5620955822076672,1
23,0.9921147013144779,,0.576982557962533,1
24,0.9980267284282716,,0.5918695337173989,1
25,1.0,,0.6067565094722647,1
26,0.9980267284282716,,0.6216434852271306,1
27,0.9921147013144778,,0.6365304609819964,1
28,0.9822872507286886,,0.6514174367368624,1
29,0.9685831611286312,,0.6663044124917281,1
30,0.9510565162951536,,0.6811913882465941,1
31,0.9297764858882515,,0.6960783640014598,1
32,0.9048270524660195,,0.7109653397563258,1
33,0.8763066800438635,,0.7258523155111917,1
34,0.844327925502015,,0.7407392912660575,1
35,0.8090169943749475,,0.7556262670209234,1
36,0.7705132427757893,0.7705132427757893,0.7705132427757893,0
37,0.7289686274214114,0.7289686274214114,0.7289686274214114,0
38,0.6845471059286888,,0.6740926825253108,1
39,0.6374239897486899,,0.6192167376292101,1
40,0.5877852522924732,,0.5643407927331096,1
41,0.5358267949789967,,0.509464847837009,1
42,0.4817536741017156,,0.45458890294090837,1
43,0.4257792915650729,,0.3997129580448077,1
44,0.36812455268467814,,0.34483701314870707,1
45,0.3090169943749475,,0.2899610682526065,1
46,0.24868988716485482,,0.2350851233565059,1
47,0.18738131458572457,,0.1802091784604053,1
48,0.12533323356430454,0.12533323356430454,0.12533323356430454,0
49,0.06279051952931358,0.06279051952931358,0.06279051952931358,0
50,1.2246467991473532e-16,1.2246467991473532e-16,1.2246467991473532e-16,0
51,-0.06279051952931335,-0.06279051952931335,-0.06279051952931335,0
52,-0.12533323356430429,-0.12533323356430429,-0.12533323356430429,0
53,-0.18738131458572477,-0.18738131458572477,-0.18738131458572477,0
54,-0.24868988716485502,,-0.24039330805754883,1
55,-0.30901699437494773,,-0.2934053015293729,1
56,-0.3681245526846783,,-0.34641729500119695,1
57,-0.42577929156507266,,-0.399429288473021,1
58,-0.481753674101715,,-0.45244128194484506,1
59,-0.5358267949789964,,-0.5054532754166692,1
60,-0.587785252292473,,-0.5584652688884932,1
61,-0.6374239897486896,,-0.6114772623603173,1
62,-0.6845471059286887,,-0.6644892558321414,1
63,-0.7289686274214113,,-0.7175012493039654,1
64,-0.7705132427757894,-0.7705132427757894,-0.7705132427757894,0
65,-0.8090169943749473,-0.8090169943749473,-0.8090169943749473,0
66,-0.8443279255020153,-0.8443279255020153,-0.8443279255020153,0
67,-0.8763066800438636,-0.8763066800438636,-0.8763066800438636,0
68,-0.9048270524660198,-0.9048270524660198,-0.9048270524660198,0
69,-0.9297764858882515,-0.9297764858882515,-0.9297764858882515,0
70,-0.9510565162951535,,-0.9317110341070608,1
71,-0.968583161128631,,-0.93364558232587,1
72,-0.9822872507286887,,-0.9355801305446794,1
73,-0.9921147013144778,,-0.9375146787634886,1
74,-0.9980267284282716,,-0.9394492269822979,1
75,-1.0,,-0.9413837752011072,1
76,-0.9980267284282716,,-0.9433183234199165,1
77,-0.9921147013144779,,-0.9452528716387257,1
78,-0.9822872507286887,,-0.9471874198575351,1
79,-0.9685831611286311,,-0.9491219680763443,1
80,-0.9510565162951536,-0.9510565162951536,-0.9510565162951536,0
81,-0.9297764858882512,-0.9297764858882512,-0.9297764858882512,0
82,-0.9048270524660196,-0.9048270524660196,-0.9048270524660196,0
83,-0.8763066800438634,-0.8763066800438634,-0.8763066800438634,0
84,-0.8443279255020155,-0.8443279255020155,-0.8443279255020155,0
85,-0.8090169943749476,-0.8090169943749476,-0.8090169943749476,0
86,-0.7705132427757896,-0.7705132427757896,-0.7705132427757896,0
87,-0.7289686274214116,-0.7289686274214116,-0.7289686274214116,0
88,-0.684547105928689,,-0.674092682525311,1
89,-0.6374239897486896,,-0.6192167376292104,1
90,-0.5877852522924734,,-0.5643407927331097,1
91,-0.5358267949789963,,-0.5094648478370091,1
92,-0.4817536741017153,,-0.4545889029409085,1
93,-0.4257792915650722,,-0.39971295804480783,1
94,-0.36812455268467786,,-0.3448370131487072,1
95,-0.3090169943749477,,-0.2899610682526066,1
96,-0.24868988716485535,,-0.235085123356506,1
97,-0.18738131458572468,,-0.1802091784604054,1
98,-0.12533323356430465,-0.12533323356430465,-0.12533323356430465,0
99,-0.06279051952931326,-0.06279051952931326,-0.06279051952931326,0
100,-2.4492935982947064e-16,-2.4492935982947064e-16,-2.4492935982947064e-16,0
101,0.06279051952931278,0.06279051952931278,0.06279051952931278,0
102,0.12533323356430418,0.12533323356430418,0.12533323356430418,0
103,0.1873813145857242,0.1873813145857242,0.1873813145857242,0
104,0.24868988716485488,0.24868988716485488,0.24868988716485488,0
105,0.3090169943749472,0.3090169943749472,0.3090169943749472,0
106,0.3681245526846782,,0.34182698171081977,1
107,0.42577929156507255,,0.37463696904669236,1
108,0.48175367410171566,,0.4074469563825649,1
109,0.5358267949789967,,0.4402569437184375,1
110,0.5877852522924736,,0.4730669310543101,1
111,0.63742398974869,,0.5058769183901827,1
112,0.6845471059286893,,0.5386869057260553,1
113,0.7289686274214119,,0.5714968930619279,1
114,0.7705132427757893,,0.6043068803978004,1
115,0.8090169943749478,,0.637116867733673,1
116,0.8443279255020147,,0.6699268550695456,1
117,0.8763066800438631,,0.7027368424054181,1
118,0.9048270524660194,,0.7355468297412908,1
119,0.9297764858882511,,0.7683568170771633,1
120,0.9510565162951535,,0.801166804413036,1
121,0.968583161128631,,0.8339767917489085,1
122,0.9822872507286886,,0.8667867790847812,1
123,0.9921147013144778,,0.8995967664206537,1
124,0.9980267284282716,,0.9324067537565264,1
125,1.0,,0.9652167410923989,1
126,0.9980267284282716,0.9980267284282716,0.9980267284282716,0
127,0.9921147013144779,0.9921147013144779,0.9921147013144779,0
128,0.9822872507286886,,0.9641540108248606,1
129,0.9685831611286311,,0.9361933203352434,1
130,0.9510565162951536,,0.9082326298456262,1
131,0.9297764858882517,,0.880271939356009,1
132,0.9048270524660192,,0.8523112488663918,1
133,0.8763066800438634,,0.8243505583767745,1
134,0.8443279255020151,,0.7963898678871573,1
135,0.8090169943749476,,0.76842917739754,1
136,0.7705132427757886,,0.7404684869079228,1
137,0.728968627421411,,0.7125077964183056,1
138,0.6845471059286884,0.6845471059286884,0.6845471059286884,0
139,0.6374239897486897,0.6374239897486897,0.6374239897486897,0
140,0.5877852522924734,,0.5790806925086344,1
141,0.5358267949789972,,0.520737395268579,1
142,0.4817536741017162,,0.46239409802852366,1
143,0.42577929156507394,,0.4040508007884683,1
144,0.368124552684678,,0.3457075035484129,1
145,0.3090169943749478,,0.2873642063083576,1
146,0.2486898871648555,,0.2290209090683022,1
147,0.18738131458572568,,0.1706776118282468,1
148,0.1253332335643039,,0.11233431458819143,1
149,0.06279051952931339,,0.05399101734813605,1
150,3.6739403974420594e-16,,-0.004352279891919331,1
151,-0.06279051952931265,,-0.0626955771319746,1
152,-0.12533323356430318,,-0.12103887437202998,1
153,-0.18738131458572496,,-0.17938217161208536,1
154,-0.24868988716485477,,-0.23772546885214074,1
155,-0.30901699437494706,,-0.2960687660921961,1
156,-0.36812455268467725,,-0.3544120633322515,1
157,-0.42577929156507327,,-0.4127553605723069,1
158,-0.48175367410171555,,-0.47109865781236215,1
159,-0.5358267949789965,,-0.5294419550524176,1
160,-0.5877852522924728,-0.5877852522924728,-0.5877852522924728,0
161,-0.6374239897486905,-0.6374239897486905,-0.6374239897486905,0
162,-0.6845471059286892,-0.6845471059286892,-0.6845471059286892,0
163,-0.7289686274214118,-0.7289686274214118,-0.7289686274214118,0
164,-0.7705132427757891,-0.7705132427757891,-0.7705132427757891,0
165,-0.8090169943749472,,-0.7913756752507174,1
166,-0.8443279255020156,,-0.8122381077256456,1
167,-0.876306680043863,,-0.8331005402005739,1
168,-0.9048270524660189,,-0.8539629726755021,1
169,-0.9297764858882513,,-0.8748254051504305,1
170,-0.9510565162951534,,-0.8956878376253588,1
171,-0.968583161128631,,-0.916550270100287,1
172,-0.9822872507286885,,-0.9374127025752153,1
173,-0.9921147013144779,,-0.9582751350501435,1
174,-0.9980267284282716,,-0.9791375675250718,1
175,-1.0,-1.0,-1.0,0
176,-0.9980267284282716,,-0.9791375675250716,1
177,-0.992114701314478,,-0.9582751350501434,1
178,-0.9822872507286886,,-0.937412702575215,1
179,-0.9685831611286312,,-0.9165502701002868,1
180,-0.9510565162951538,,-0.8956878376253584,1
181,-0.9297764858882517,,-0.8748254051504302,1
182,-0.9048270524660192,,-0.8539629726755018,1
183,-0.8763066800438635,,-0.8331005402005736,1
184,-0.8443279255020152,,-0.8122381077256452,1
185,-0.8090169943749477,,-0.791375675250717,1
186,-0.7705132427757886,-0.7705132427757886,-0.7705132427757886,0
187,-0.7289686274214111,,-0.7175012493039647,1
188,-0.6845471059286885,,-0.6644892558321408,1
189,-0.6374239897486897,,-0.611477262360317,1
190,-0.5877852522924735,,-0.558465268888493,1
191,-0.5358267949789958,,-0.5054532754166692,1
192,-0.4817536741017163,,-0.4524412819448453,1
193,-0.42577929156507405,,-0.3994292884730214,1
194,-0.3681245526846781,,-0.3464172950011975,1
195,-0.3090169943749479,,-0.2934053015293736,1
196,-0.2486898871648556,,-0.24039330805754977,1
197,-0.1873813145857258,-0.1873813145857258,-0.1873813145857258,0
198,-0.125333233564304,,-0.13537139234516649,1
199,-0.06279051952931351,,-0.08336147010460719,1
200,-4.898587196589413e-16,,-0.031351547864047896,1
201,0.0627905195293143,,0.020658374376511413,1
202,0.12533323356430304,,0.07266829661707072,1
203,0.18738131458572485,,0.12467821885763,1
204,0.24868988716485466,,0.17668814109818934,1
205,0.30901699437494523,,0.22869806333874862,1
206,0.36812455268467714,,0.2807079855793079,1
207,0.42577929156507155,,0.3327179078198672,1
208,0.48175367410171543,,0.38472783006042655,1
209,0.535826794978995,,0.43673775230098577,1
210,0.5877852522924727,,0.4887476745415451,1
211,0.6374239897486891,,0.5407575967821044,1
212,0.6845471059286891,,0.5927675190226637,1
213,0.7289686274214104,,0.644777441263223,1
214,0.7705132427757891,,0.6967873635037823,1
215,0.8090169943749471,,0.7487972857443416,1
216,0.8443279255020155,,0.8008072079849009,1
217,0.876306680043863,,0.8528171302254602,1
218,0.9048270524660196,0.9048270524660196,0.9048270524660196,0
219,0.9297764858882513,,0.8920935732890038,1
220,0.951056516295154,,0.8793600941119881,1
221,0.9685831611286309,,0.8666266149349725,1
222,0.9822872507286888,,0.8538931357579568,1
223,0.9921147013144779,,0.841159656580941,1
224,0.9980267284282717,,0.8284261774039253,1
225,1.0,,0.8156926982269097,1
226,0.9980267284282716,,0.802959219049894,1
227,0.992114701314478,,0.7902257398728783,1
228,0.9822872507286886,,0.7774922606958625,1
229,0.9685831611286312,,0.7647587815188468,1
230,0.9510565162951532,,0.7520253023418312,1
231,0.9297764858882518,,0.7392918231648155,1
232,0.9048270524660201,,0.7265583439877997,1
233,0.8763066800438635,,0.7138248648107841,1
234,0.8443279255020162,,0.7010913856337684,1
235,0.8090169943749478,,0.6883579064567527,1
236,0.7705132427757898,,0.6756244272797369,1
237,0.7289686274214111,,0.6628909481027212,1
238,0.6845471059286898,,0.6501574689257055,1
239,0.6374239897486899,0.6374239897486899,0.6374239897486899,0
240,0.5877852522924736,0.5877852522924736,0.5877852522924736,0
241,0.5358267949789959,0.5358267949789959,0.5358267949789959,0
242,0.48175367410171643,,0.47572133783869597,1
243,0.42577929156507255,,0.4156158806983961,1
