rate,pattern,MSE
rate_10,pattern_1,0.2014371161101006
rate_30,pattern_1,0.2078658372099313
rate_50,pattern_1,0.2055889694899163
rate_70,pattern_1,0.2031912780478229
rate_90,pattern_1,0.206023672979972
rate_10,pattern_2,0.1762018919251242
rate_30,pattern_2,0.1787627631263682
rate_50,pattern_2,0.1755297732644684
rate_70,pattern_2,0.1736372259417822
rate_90,pattern_2,0.1736372259417822
rate_10,pattern_3,0.2355411391171325
rate_30,pattern_3,0.2309308332114067
rate_50,pattern_3,0.2410307573020258
rate_70,pattern_3,0.2444000094627703
rate_90,pattern_3,0.2444000094627703
