rate,pattern,MSE
rate_10,pattern_1,0.0012614708134128
rate_30,pattern_1,0.0019566416847683
rate_50,pattern_1,0.002740652409582
rate_70,pattern_1,0.0072755997843977
rate_90,pattern_1,0.0140784875998219
rate_10,pattern_2,0.0001555195281014
rate_30,pattern_2,0.0001711116862504
rate_50,pattern_2,0.0001711116862504
rate_70,pattern_2,0.0001711116862504
rate_90,pattern_2,0.0001711116862504
rate_10,pattern_3,0.0018304652026351
rate_30,pattern_3,0.001846325105845
rate_50,pattern_3,0.001846325105845
rate_70,pattern_3,0.001846325105845
rate_90,pattern_3,0.001846325105845
