rate,pattern,MSE
rate_10,pattern_1,1.645717870190998
rate_30,pattern_1,1.6449322803022326
rate_50,pattern_1,1.5960660287372088
rate_70,pattern_1,1.6102652851165786
rate_90,pattern_1,1.6221604184590177
rate_10,pattern_2,1.9223632993838928
rate_30,pattern_2,1.8150906546894583
rate_50,pattern_2,1.7221495263529016
rate_70,pattern_2,1.653486164156306
rate_90,pattern_2,1.653486164156306
rate_10,pattern_3,1.4838088166841064
rate_30,pattern_3,1.588795710819458
rate_50,pattern_3,1.5915694360678891
rate_70,pattern_3,1.6476767376659929
rate_90,pattern_3,1.6476767376659929
